1 	 -12.0 	 0.0 	 -8.0
2 	 -6.0 	 0.0 	 -4.5
3 	 -0.0 	 0.0 	 0.0
4 	 -6.0 	 0.0 	 4.5
5 	 -12.0 	 0.0 	 8.0
6 	 -12.0 	 3.0 	 -8.0
7 	 -6.0 	 3.0 	 -4.5
8 	 -0.0 	 3.0 	 0.0
9 	 -6.0 	 3.0 	 4.5
10 	 -12.0 	 3.0 	 8.0
11 	 -12.0 	 6.0 	 -8.0
12 	 -6.0 	 6.0 	 -4.5
13 	 -0.0 	 6.0 	 0.0
14 	 -6.0 	 6.0 	 4.5
15 	 -12.0 	 6.0 	 8.0
16 	 -12.0 	 9.0 	 -8.0
17 	 -6.0 	 9.0 	 -4.5
18 	 -0.0 	 9.0 	 0.0
19 	 -6.0 	 9.0 	 4.5
20 	 -12.0 	 9.0 	 8.0
21 	 -12.0 	 12.0 	 -8.0
22 	 -6.0 	 12.0 	 -4.5
23 	 -0.0 	 12.0 	 0.0
24 	 -6.0 	 12.0 	 4.5
25 	 -12.0 	 12.0 	 8.0
26 	 -12.0 	 15.0 	 -8.0
27 	 -6.0 	 15.0 	 -4.5
28 	 -0.0 	 15.0 	 0.0
29 	 -6.0 	 15.0 	 4.5
30 	 -12.0 	 15.0 	 8.0
31 	 -12.0 	 18.0 	 -8.0
32 	 -6.0 	 18.0 	 -4.5
33 	 -0.0 	 18.0 	 0.0
34 	 -6.0 	 18.0 	 4.5
35 	 -12.0 	 18.0 	 8.0
36 	 -12.0 	 21.0 	 -8.0
37 	 -6.0 	 21.0 	 -4.5
38 	 -0.0 	 21.0 	 0.0
39 	 -6.0 	 21.0 	 4.5
40 	 -12.0 	 21.0 	 8.0
